Date,Ticker,Price
20091221,WFMI,27.13
20091222,WFMI,27.52
20091223,WFMI,28.8
20091224,WFMI,28.42
20091228,WFMI,28.4
20091229,WFMI,28.54
20091230,WFMI,28.28
20091231,WFMI,27.78
20100104,WFMI,27.4
20100105,WFMI,27.98
20100106,WFMI,27.56
20100107,WFMI,27.9
20100108,WFMI,27.81
20100111,WFMI,27.86
20100112,WFMI,29.62
20100113,WFMI,29.57
20100114,WFMI,29.1
20100115,WFMI,28.21
20100119,WFMI,27.9
20100120,WFMI,28.59
20100121,WFMI,29.14
20100122,WFMI,28.97
20100125,WFMI,28.46
20100126,WFMI,28.17
20100127,WFMI,27.87
20100128,WFMI,27.62
20100129,WFMI,27.44
20100201,WFMI,27.17
20100202,WFMI,27.4
20100203,WFMI,27.81
20100204,WFMI,27.39
20100205,WFMI,27.24
20100208,WFMI,27.63
20100209,WFMI,27.87
20100210,WFMI,28.34
20100211,WFMI,28.36
20100212,WFMI,28.95
20100216,WFMI,30.5
20100217,WFMI,32.89
20100218,WFMI,33.86
20100219,WFMI,33.88
20100222,WFMI,33.86
20100223,WFMI,33.81
20100224,WFMI,34.94
20100225,WFMI,34.12
20100226,WFMI,35.31
20100301,WFMI,35.97
20100302,WFMI,36.67
20100303,WFMI,36.3
20100304,WFMI,36.17
20100305,WFMI,36.59
20100308,WFMI,35.95
20100309,WFMI,35.64
20100310,WFMI,35.31
20100311,WFMI,34.98
20100312,WFMI,35.69
20100315,WFMI,36.06
20100316,WFMI,36.34
20100317,WFMI,36.71
20100318,WFMI,36.81
20100319,WFMI,35.84
20100322,WFMI,35.63
20100323,WFMI,35.69
20100324,WFMI,35.35
20100325,WFMI,35.33
20100326,WFMI,35.57
20100329,WFMI,35.43
20100330,WFMI,36.4
20100331,WFMI,36.09
20100401,WFMI,36.33
20100405,WFMI,36.97
20100406,WFMI,37.68
20100407,WFMI,37.74
20100408,WFMI,37.23
20100409,WFMI,37.56
20100412,WFMI,38.98
20100413,WFMI,38.79
20100414,WFMI,38.73
20100415,WFMI,39.11
20100416,WFMI,39.21
20100419,WFMI,39.05
20100420,WFMI,38.8
20100421,WFMI,38.34
20100422,WFMI,37.83
20100423,WFMI,40.04
20100426,WFMI,40.05
20100427,WFMI,39.75
20100428,WFMI,37.94
20100429,WFMI,38.71
20100430,WFMI,39.33
20100503,WFMI,39.14
20100504,WFMI,39.85
20100505,WFMI,39.81
20100506,WFMI,40.14
20100507,WFMI,38.01
20100510,WFMI,38.38
20100511,WFMI,39.02
20100512,WFMI,40.0
20100513,WFMI,42.92
20100514,WFMI,42.0
20100517,WFMI,41.1
20100518,WFMI,41.47
20100519,WFMI,40.36
20100520,WFMI,39.68
20100521,WFMI,37.68
20100524,WFMI,38.99
20100525,WFMI,38.55
20100526,WFMI,39.6
20100527,WFMI,40.37
20100528,WFMI,40.62
20100601,WFMI,39.88
20100602,WFMI,39.53
20100603,WFMI,40.4
20100604,WFMI,39.04
20100607,WFMI,38.57
20100608,WFMI,37.58
20100609,WFMI,38.49
20100610,WFMI,38.87
20100611,WFMI,38.77
20100614,WFMI,39.6
20100615,WFMI,40.3
20100616,WFMI,40.18
20100617,WFMI,40.37
20100618,WFMI,40.43
20100621,WFMI,40.74
20100622,WFMI,39.52
20100623,WFMI,38.78
20100624,WFMI,39.16
20100625,WFMI,38.26
20100628,WFMI,38.76
20100629,WFMI,37.92
20100630,WFMI,36.81
20100701,WFMI,35.95
20100702,WFMI,35.39
20100706,WFMI,35.51
20100707,WFMI,34.2
20100708,WFMI,35.98
20100709,WFMI,36.61
20100712,WFMI,36.46
20100713,WFMI,36.58
20100714,WFMI,36.81
20100715,WFMI,37.4
20100716,WFMI,38.77
20100719,WFMI,37.27
20100720,WFMI,36.41
20100721,WFMI,37.27
20100722,WFMI,36.53
20100723,WFMI,37.18
20100726,WFMI,38.97
20100727,WFMI,39.87
20100728,WFMI,40.15
20100729,WFMI,39.83
20100730,WFMI,38.49
20100802,WFMI,38.86
20100803,WFMI,38.91
20100804,WFMI,37.25
20100805,WFMI,36.16
20100809,WFMI,37.12
20100810,WFMI,36.5
20100811,WFMI,35.8
20100812,WFMI,35.34
20100813,WFMI,36.05
20100816,WFMI,36.06
20100817,WFMI,36.71
20100819,WFMI,36.68
20100820,WFMI,36.38
20090821,WFR,17.06
20090824,WFR,17.1
20090825,WFR,16.91
20090826,WFR,16.29
20090827,WFR,16.04
20090828,WFR,16.46
20090831,WFR,16.36
20090901,WFR,15.95
20090902,WFR,15.47
20090903,WFR,15.86
20090904,WFR,16.33
20090909,WFR,16.0
20090910,WFR,16.64
20090911,WFR,17.48
20090914,WFR,17.03
20090915,WFR,17.2
20090916,WFR,17.55
20090917,WFR,18.6
20090918,WFR,18.51
20090921,WFR,18.54
20090922,WFR,18.71
20090923,WFR,18.99
20090924,WFR,18.48
20090925,WFR,17.68
20090928,WFR,16.71
20090929,WFR,16.86
20090930,WFR,16.72
20091001,WFR,16.68
20091002,WFR,15.5
20091005,WFR,15.63
20091006,WFR,16.1
20091007,WFR,16.04
20091008,WFR,16.05
20091009,WFR,15.95
20091012,WFR,16.5
20091013,WFR,16.5
20091014,WFR,16.14
20091015,WFR,15.8
20091016,WFR,15.56
20091019,WFR,15.6
20091020,WFR,15.92
20091021,WFR,15.36
20091022,WFR,15.4
20091023,WFR,14.71
20091026,WFR,14.02
20091027,WFR,13.61
20091028,WFR,12.59
20091105,WFR,12.58
20091106,WFR,12.59
20091109,WFR,12.77
20091110,WFR,12.96
20091111,WFR,13.05
20091112,WFR,13.05
20091113,WFR,12.77
20091116,WFR,13.16
20091117,WFR,13.32
20091118,WFR,13.55
20091119,WFR,12.91
20091120,WFR,12.25
20091123,WFR,12.39
20091124,WFR,11.98
20091125,WFR,12.27
20091127,WFR,11.97
20091130,WFR,12.01
20091201,WFR,12.14
20091202,WFR,12.35
20091203,WFR,12.75
20091204,WFR,13.08
20091207,WFR,12.77
20091208,WFR,13.03
20091209,WFR,13.1
20091210,WFR,12.94
20091211,WFR,12.82
20091214,WFR,12.57
