route,Free Flow Speed,2019 Peak Hour Mean Speed,2019 Peak Hour 5th Speed,2019 Speed Ratio,2019 BTI,2020 Peak Hour Mean Speed,2020 Peak Hour 5th Speed,2020 Speed Ratio,2020 BTI,2021 Peak Hour Mean Speed,2021 Peak Hour 5th Speed,2021 Speed Ratio,2021 BTI,2019 Congested,2019 Reliability,2020 Congested,2020 Reliability,2021 Congested,2021 Reliability
south_1st_barton_spring$cesar_chavez_lavaca,21.405919661733616,11.18078078078078,6.0,0.5223219070922774,0.8634634634634634,19.362424242424243,10.0,0.9045359670781893,0.9362424242424244,17.881877022653722,9.850000000000001,0.8353706500459467,0.8154189870714433,Congested,Reliable Travel Time,Not Congested,Reliable Travel Time,Not Congested,Reliable Travel Time
south_1st_barton_spring$south_1st_oltorf,30.17527386541471,16.282348077718066,10.0,0.5395923878053026,0.6282348077718065,24.94290976058932,16.0,0.8266009406190528,0.5589318600368325,24.130184331797235,17.0,0.7996674508877935,0.4194226077527784,Congested,Reliable Travel Time,Not Congested,Reliable Travel Time,Not Congested,Reliable Travel Time
south_1st_barton_spring$south_1st_st_elmo,27.264705882352942,13.333333333333334,9.0,0.4890327220424308,0.48148148148148157,18.28368794326241,10.0,0.6705991262900992,0.8283687943262412,19.79527559055118,12.3,0.7260403129220497,0.6093719992318033,Congested,Reliable Travel Time,Not Congested,Reliable Travel Time,Not Congested,Reliable Travel Time
south_1st_benwhite$south_1st_oltorf,30.427777777777777,22.362017804154302,16.0,0.7349211620865026,0.397626112759644,26.167342799188642,17.0,0.8599820529220296,0.5392554587758024,24.877650897226754,18.0,0.8175967065000577,0.3820917165125975,Not Congested,Reliable Travel Time,Not Congested,Reliable Travel Time,Not Congested,Reliable Travel Time
south_1st_benwhite$south_1st_st_elmo,21.919526627218936,14.08082474226804,9.0,0.642387264184024,0.5645360824742268,18.301258992805757,10.0,0.83492948109928,0.8301258992805757,16.379008746355684,10.0,0.7472336891626472,0.6379008746355684,Not Congested,Reliable Travel Time,Not Congested,Reliable Travel Time,Not Congested,Reliable Travel Time
south_1st_benwhite$us290_wm_cannon,46.333333333333336,27.236311239193082,14.0,0.5878340555221528,0.9454508027995058,40.75438596491228,14.350000000000001,0.8795910639909125,1.840026896509566,38.06201550387597,18.0,0.8214823490045173,1.1145564168819984,Congested,Reliable Travel Time,Not Congested,Unreliable Travel Time,Not Congested,Reliable Travel Time
south_1st_oltorf$cesar_chavez_lavaca,27.543478260869566,18.14879649890591,11.0,0.6589144743091332,0.6498905908096281,22.528541226215644,14.600000000000001,0.8179265165003312,0.5430507689188795,20.909375,15.0,0.7591406866614049,0.39395833333333335,Not Congested,Reliable Travel Time,Not Congested,Reliable Travel Time,Not Congested,Reliable Travel Time
south_1st_oltorf$lamar_oltorf,29.40149625935162,22.57379444715051,11.0,0.7677770630455772,1.052163131559137,25.903225806451612,15.0,0.8810172644942406,0.7268817204301076,25.97530864197531,17.0,0.8834689368475063,0.5279593318809005,Not Congested,Reliable Travel Time,Not Congested,Reliable Travel Time,Not Congested,Reliable Travel Time
south_1st_oltorf$south_1st_barton_spring,30.719827586206897,22.970160673297627,15.0,0.7477307810025325,0.5313440448865084,25.65424739195231,17.0,0.8351038859173475,0.5090733759971946,23.325581395348838,16.0,0.7593005308995272,0.4578488372093024,Not Congested,Reliable Travel Time,Not Congested,Reliable Travel Time,Not Congested,Reliable Travel Time
south_1st_oltorf$south_1st_benwhite,31.256363636363638,12.695841092489138,7.0,0.4061842010859767,0.8136915846413054,20.764307228915662,10.0,0.6643225510967142,1.0764307228915662,19.72222222222222,10.0,0.6309826201048352,0.9722222222222222,Congested,Reliable Travel Time,Not Congested,Reliable Travel Time,Not Congested,Reliable Travel Time
south_1st_slaughter$south_1st_wm_cannon,30.285714285714285,29.997349823321557,20.0,0.9904785319021269,0.49986749116607787,29.497931034482757,20.0,0.9739882888744307,0.4748965517241379,29.0250569476082,20.0,0.9583745218549877,0.4512528473804101,Not Congested,Reliable Travel Time,Not Congested,Reliable Travel Time,Not Congested,Reliable Travel Time
